ts,open,high,low,close,volume,ret_1,ret_3,ret_6,ema_10,ema_30,ema_dist,volatility_10,rsi,target
2026-02-25 10:45:00+00:00,55536.9,55608.5,55518.7,55591.8,3.27306405,0.0009741130799441056,0.0018345647864481673,0.00010614202522574168,55549.35337154283,55559.6191205479,0.0005792134640499022,0.000837585662445649,56.39412997719636,0
2026-02-25 10:50:00+00:00,55591.8,55591.8,55520.2,55520.2,0.67261507,-0.0012879597350688998,0.00010808045509080877,0.0007390157031823552,55543.830017587046,55555.7422334668,-0.0006397580526859216,0.0009194904778123203,48.449069440307696,0
2026-02-25 10:55:00+00:00,55525.1,55535.5,55500.1,55517.5,0.86344656,-4.863094873575058e-05,-0.00036371689861114387,0.0007444633915085763,55538.87939633514,55552.104184532946,-0.0006229140199261823,0.0008993376945391589,38.31753554375328,0
2026-02-25 11:00:00+00:00,55518.3,55524.1,55462.9,55483.9,2.44091396,-0.0006052145719818158,-0.001940933734831396,-0.0001099297170661373,55528.605798045755,55545.80854859164,-0.001114549418026364,0.0008969865020467723,34.87702193554617,0
2026-02-25 11:05:00+00:00,55488.7,55492.2,55360.1,55426.2,1.30559853,-0.0010399413163098004,-0.001693077474504756,-0.0015851800079978995,55509.566020863225,55535.06651284415,-0.0019603202027132028,0.0009037748965523897,29.623698958337457,0
2026-02-25 11:10:00+00:00,55441.5,55484.8,55400.1,55400.1,0.6166142,-0.0004708964352598821,-0.002114648534246033,-0.0024775962994506573,55489.296811027445,55523.244210357305,-0.0022178857181103795,0.0007079630794098992,29.42345924371446,0
2026-02-25 11:15:00+00:00,55400.1,55424.7,55367.8,55379.0,0.5495201,-0.0003808657385094838,-0.0018906385455961239,-0.0038279026762940704,55468.941880425846,55510.89424908877,-0.0023760065636293775,0.0007109667376168312,24.975064830741132,1
2026-02-25 11:20:00+00:00,55379.0,55542.8,55379.0,55519.2,1.71041265,0.0025316455696202667,0.0016779068382821727,-1.8011462494693653e-05,55478.19161919286,55511.590678104825,0.0001370762718599811,0.0011143019207619004,40.48108877897326,1
2026-02-25 11:25:00+00:00,55501.7,55532.7,55500.0,55532.0,1.4510175,0.0002305508724909089,0.0023808621284078235,0.000261178907551729,55488.07276439725,55513.26952269393,0.000337405407159647,0.001108332573864225,45.44070377155104,1
2026-02-25 11:30:00+00:00,55532.1,55532.7,55495.6,55532.7,0.81971397,1.2605344666072327e-05,0.0027754202856677956,0.0008795344234993063,55496.253053966255,55514.839984727805,0.0003217160542497334,0.0010998228443773992,55.51432694129616,1
2026-02-25 11:35:00+00:00,55532.7,55608.0,55521.7,55608.0,3.07218827,0.0013559578410557993,0.0015994466779061245,0.0032800372387067345,55516.70620125424,55522.24878599962,0.0015444477822015871,0.0011434887056279363,61.822748473510096,0
